Security Code	Security Id	Ticker	Security Name	Current Price	Market Capitalization	Company Type	Industry Type	Macro-Economic Indicator	Sector	Industry	Industry Subgroup Name
504810	INFORTEC	NSE:INFORTEC	Informed Technologies India Ltd	80.37	33.5070578	SME	Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)	Services	Services	Commercial Services & Supplies	Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
504840	KAIRA	NSE:KAIRA	Kaira Can Company Ltd	1718.9	158.5054608	SME	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
504879	ORIENTCER	NSE:ORIENTCER	Orient Ceratech Ltd	37	443.5025	SME	Electrodes & Refractories	Industrials	Capital Goods	Industrial Products	Electrodes & Refractories
504882	NATIONSTD	NSE:NATIONSTD	National Standard (India) Ltd	1731.1	3462.199951	Small Cap	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
504903	RATHIST	NSE:RATHIST	Rathi Steel & Power Ltd	24.92	215.2165717	SME	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
504908	DUNCANENG	NSE:DUNCANENG	Duncan Engineering Ltd	485	179.256	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
504918	SANDUMA	NSE:SANDUMA	Sandur Manganese & Iron Ores Ltd	212	10327.22966	Small Cap	Coal	Energy	Oil, Gas & Consumable Fuels	Consumable Fuels	Coal
504959	STOVACQ	NSE:STOVACQ	Stovec Industries Ltd	2250	469.8036	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
504973	CHOLAHLDNG	NSE:CHOLAHLDNG	Cholamandalam Financial Holdings Ltd	1894	35565.03956	Mid Cap	Investment Company	Financial Services	Financial Services	Finance	Investment Company
504988	ZWELCAST	NSE:ZWELCAST	Welcast Steels Ltd	950	60.6252855	SME	Other Industrial Products	Industrials	Capital Goods	Industrial Products	Other Industrial Products
504998	WMINIMT	NSE:WMINIMT	Western Ministil Ltd	0.5	0.107859	SME	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
505010	AUTOAXLES	NSE:AUTOAXLES	Automotive Axles Ltd	1700	2559.054102	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505029	ATLASCYCLE	NSE:ATLASCYCLE	Atlas Cycles (Haryana) Ltd	117	77.4520358	SME	Cycles	Consumer Discretionary	Consumer Durables	Consumer Durables	Cycles
505032	AUTOPRD	NSE:AUTOPRD	Automobile Products of India Ltd	0	0	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505036	ACGL	NSE:ACGL	Automobile Corporation of Goa Ltd	2065.95	1257.878213	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505075	SETCO	NSE:SETCO	Setco Automotive Ltd	19.1	255.4953571	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505100	INRADIA	NSE:INRADIA	India Radiators Ltd	11.86	1.0674	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505160	TALBROAUTO	NSE:TALBROAUTO	Talbros Automotive Components Ltd	292.9	1811.53281	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505163	ZFSTEERING	NSE:ZFSTEERING	ZF Steering Gear India Ltd	986	894.62738	Micro Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505192	SMLISUZU	NSE:SMLISUZU	SML Isuzu Ltd	2815	4039.965623	Small Cap	Commercial Vehicles	Industrials	Capital Goods	Agricultural, Commercial & Construction Vehicles	Commercial Vehicles
505196	TIL	NSE:TIL	TIL Ltd	313.1	2093.963664	Small Cap	Construction Vehicles	Industrials	Capital Goods	Agricultural, Commercial & Construction Vehicles	Construction Vehicles
505200	EICHERMOT	NSE:EICHERMOT	Eicher Motors Ltd	6894	188539.812	Large Cap	2/3 Wheelers	Consumer Discretionary	Automobile and Auto Components	Automobiles	2/3 Wheelers
505212	JAINEX	NSE:JAINEX	Jainex Aamcol Ltd	196.95	29.4703567	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505216	ALFREDHE	NSE:ALFREDHE	Alfred Herbert India Ltd	3199.95	246.853387	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
505232	VELJAN	NSE:VELJAN	Veljan Denison Ltd	1221	549.4498779	Micro Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505242	DYNAMATECH	NSE:DYNAMATECH	Dynamatic Technologies Ltd	8000	5433.1536	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505250	GGDPROP	NSE:GGDPROP	G. G. Dandekar Properties Ltd	81	39.75758	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505255	GMMPFAUDLR	NSE:GMMPFAUDLR	GMM Pfaudler Ltd	1169.3	5256.847954	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505283	KIRLPNU	NSE:KIRLPNU	Kirloskar Pneumatic Company Ltd	0	0	SME	Compressors- Pumps & Diesel Engines	Industrials	Capital Goods	Industrial Products	Compressors, Pumps & Diesel Engines
505285	TULIVE	NSE:TULIVE	Tulive Developers Ltd	839.2	180.7952	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505299	KPT	NSE:KPT	KPT Industries Ltd	699.9	237.9660083	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505302	LAKSHMIEW	NSE:LAKSHMIEW	Lakshmi Engineering And Warehousing Ltd	2271	151.873125	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505324	MANUGRAPH	NSE:MANUGRAPH	Manugraph India Ltd	22.32	67.8864129	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505336	HARSHILAGR	NSE:HARSHILAGR	Harshil Agrotech Ltd	0.66	61.6077024	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505343	MONOT	NSE:MONOT	Monotype India Ltd	0.54	37.9685787	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505355	NESCO	NSE:NESCO	NESCO Ltd	1360	9582.5532	Small Cap	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505358	INTEGRAEN	NSE:INTEGRAEN	Integra Engineering India Ltd	247.85	853.2283551	Micro Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505368	SEMAC	NSE:SEMAC	Semac Consultants Ltd	462.4	147.8227	SME	Civil Construction	Industrials	Construction	Construction	Civil Construction
505400	TEXINFRA	NSE:TEXINFRA	Texmaco Infrastructure & Holdings Ltd	92.5	1178.695125	Small Cap	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505412	WENDT	NSE:WENDT	Wendt (India) Ltd	9070	1810.957487	Small Cap	Abrasives & Bearings	Industrials	Capital Goods	Industrial Products	Abrasives & Bearings
505502	PSITINFRA	NSE:PSITINFRA	PS IT Infrastructure & Services Ltd	1.4	7.5263998	SME	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
505504	GHVINFRA	NSE:GHVINFRA	GHV Infra Projects Ltd	319	2299.1925	Small Cap	Civil Construction	Industrials	Construction	Construction	Civil Construction
505509	RESPONIND	NSE:RESPONIND	Responsive Industries Ltd	184	4906.392243	Small Cap	Furniture- Home Furnishing	Consumer Discretionary	Consumer Durables	Consumer Durables	Furniture, Home Furnishing
505520	ZHEMHOLD	NSE:ZHEMHOLD	Hem Holdings & Trading Ltd	101.34	2.43216	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505523	MAHACORP	NSE:MAHACORP	Maharashtra Corporation Ltd	0.47	0	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
505526	DOLATALGO	NSE:DOLATALGO	Dolat Algotech Ltd	82.07	1444.431995	Small Cap	Stockbroking & Allied	Financial Services	Financial Services	Capital Markets	Stockbroking & Allied
505533	WESTLIFE	NSE:WESTLIFE	Westlife Foodworld Ltd	600	9323.748	Small Cap	Restaurants	Consumer Discretionary	Consumer Services	Leisure Services	Restaurants
505537	ZEEL	NSE:ZEEL	Zee Entertainment Enterprises Ltd	105.79	10151.65526	Small Cap	TV Broadcasting & Software Production	Consumer Discretionary	Media, Entertainment & Publication	Entertainment	TV Broadcasting & Software Production
505585	ZKOVALIN	NSE:ZKOVALIN	Kovalam Investment & Trading Company Ltd	13.46	0	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505590	SVPGLOB	NSE:SVPGLOB	SVP Global Textiles Ltd	3.5	44.275	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
505594	MULTIIN	NSE:MULTIIN	Multiplus Holdings Ltd	32.8	0	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
505650	SKYLMILAR	NSE:SKYLMILAR	Skyline Millars Ltd	31.59	127.0684379	SME	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
505681	BIMETAL	NSE:BIMETAL	Bimetal Bearings Ltd	648.45	248.0321296	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505685	TAPARIA	NSE:TAPARIA	Taparia Tools Ltd	13.37	20.29399	SME	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
505688	BHARATGEAR	NSE:BHARATGEAR	Bharat Gears Ltd	111.27	170.244918	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505690	BRADYM	NSE:BRADYM	Brady & Morris Engineering Company Ltd	1130	254.25	SME	Construction Vehicles	Industrials	Capital Goods	Agricultural, Commercial & Construction Vehicles	Construction Vehicles
505693	LATIMMETAL	NSE:LATIMMETAL	La Tim Metal & Industries Ltd	12.23	162.0125161	SME	Trading - Metals	Commodities	Metals & Mining	Metals & Minerals Trading	Trading - Metals
505700	ELECON	NSE:ELECON	Elecon Engineering Company Ltd	561.35	12596.68223	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505703	DECANBRG	NSE:DECANBRG	Deccan Bearings Ltd	108.5	217	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505710	GRAUWEIL	NSE:GRAUWEIL	Grauer & Weil India Ltd	86.14	3905.686633	Small Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
505712	HIMTEK	NSE:HIMTEK	Him Teknoforge Ltd	205.85	194.9691041	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505714	GABRIEL	NSE:GABRIEL	Gabriel India Ltd	1245.8	17896.38232	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505720	HERCULES	NSE:HERCULES	Hercules Hoists Ltd	195	624	Micro Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505725	AQFINTECH	NSE:AQFINTECH	Algoquant Fintech Ltd	68.9	1936.751483	Small Cap	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
505726	IFBIND	NSE:IFBIND	IFB Industries Ltd	1892	7666.155068	Small Cap	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
505729	SINGER	NSE:SINGER	Singer India Ltd	80.95	499.1015774	SME	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
505737	INTLCOMBQ	NSE:INTLCOMBQ	International Combustion India Ltd	792.1	189.3336769	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505744	FMGOETZE	NSE:FMGOETZE	Federal-Mogul Goetze (India) Ltd	467.75	2602.192413	Small Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505750	JOSTS	NSE:JOSTS	Josts Engineering Company Ltd	341.2	403.5249712	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505790	SCHAEFFLER	NSE:SCHAEFFLER	Schaeffler India Ltd	3900	60997.443	Mid Cap	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505800	RANEHOLDIN	NSE:RANEHOLDIN	Rane Holdings Ltd	1541	2171.7403	Small Cap	Holding Company	Financial Services	Financial Services	Finance	Holding Company
505807	ROLCOEN	NSE:ROLCOEN	Rolcon Engineering Company Ltd	771.65	58.3367418	SME	Other Industrial Products	Industrials	Capital Goods	Industrial Products	Other Industrial Products
505827	SNL	NSE:SNL	SNL Bearings Ltd	380.35	137.364888	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505840	JAIPAN	NSE:JAIPAN	Jaipan Industries Ltd	30.6	18.6655106	SME	Household Appliances	Consumer Discretionary	Consumer Durables	Consumer Durables	Household Appliances
505850	MANCREDIT	NSE:MANCREDIT	Mangal Credit and Fincorp Ltd	180.82	381.7830018	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
505854	TRF	NSE:TRF	TRF Ltd	342	376.350822	SME	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505872	WPIL	NSE:WPIL	WPIL Ltd	450.15	4396.650102	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505890	KENNAMET	NSE:KENNAMET	Kennametal India Ltd	2083.1	4578.285306	Small Cap	Industrial Products	Industrials	Capital Goods	Industrial Manufacturing	Industrial Products
505893	HINDHARD	NSE:HINDHARD	Hindustan Hardy Ltd	1215	182.061675	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
505978	TRITONV	NSE:TRITONV	Triton Valves Ltd	2975.05	357.1627909	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
506003	SUDAI	NSE:SUDAI	Sudal Industries Ltd	96.8	81.0004807	SME	Aluminium	Commodities	Metals & Mining	Non - Ferrous Metals	Aluminium
506022	PRAKASH	NSE:PRAKASH	Prakash Industries Ltd	160.6	2876.053817	Small Cap	Iron & Steel	Commodities	Metals & Mining	Ferrous Metals	Iron & Steel
506024	HVL	NSE:HVL	Hariyana Ventures Ltd	0	0	SME	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
506042	ZPRBHSTE	NSE:ZPRBHSTE	Prabhu Steel Industries Ltd	179.25	0	SME	Iron & Steel Products	Industrials	Capital Goods	Industrial Products	Iron & Steel Products
506076	GRINDWELL	NSE:GRINDWELL	Grindwell Norton Ltd	1635.3	18104.02416	Small Cap	Abrasives & Bearings	Industrials	Capital Goods	Industrial Products	Abrasives & Bearings
506079	LAKPRE	NSE:LAKPRE	Lakshmi Precision Screws Ltd	5.49	6.006971	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
506105	STANROS	NSE:STANROS	Stanrose Mafatlal Investments & Finance Ltd	71.9	28.5293382	SME	Investment Company	Financial Services	Financial Services	Finance	Investment Company
506109	GENESYS	NSE:GENESYS	Genesys International Corporation Ltd	536	2236.13304	Small Cap	IT Enabled Services	Information Technology	Information Technology	IT - Services	IT Enabled Services
506120	ALNATRD	NSE:ALNATRD	Alna Trading & Exports Ltd	0	0	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
506122	VOLKAI	NSE:VOLKAI	Kairosoft AI Solutions Ltd	51.38	5.99877	SME	Auto Components & Equipments	Consumer Discretionary	Automobile and Auto Components	Auto Components	Auto Components & Equipments
506128	PARNAXLAB	NSE:PARNAXLAB	Parnax Lab Ltd	129.05	148.2218005	SME	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506134	GOURMET	NSE:GOURMET	Gourmet Gateway India Ltd	15.75	238.309785	SME	Restaurants	Consumer Discretionary	Consumer Services	Leisure Services	Restaurants
506146	VIVIDHA	NSE:VIVIDHA	Visagar Polytex Ltd	0.79	23.1079363	SME	Garments & Apparels	Consumer Discretionary	Textiles	Textiles & Apparels	Garments & Apparels
506161	ISHWATR	NSE:ISHWATR	Ishwarshakti Holdings & Traders Ltd	4.78	0.68832	SME	Non Banking Financial Company (NBFC)	Financial Services	Financial Services	Finance	Non Banking Financial Company (NBFC)
506162	TERRAFORM	NSE:TERRAFORM	Terraform Magnum Ltd	0	0	SME	Other Financial Services	Financial Services	Financial Services	Finance	Other Financial Services
506166	APIS	NSE:APIS	Apis India Ltd	903.35	497.7527	SME	Other Food Products	Fast Moving Consumer Goods	Fast Moving Consumer Goods	Food Products	Other Food Products
506178	VELOX	NSE:VELOX	Velox Shipping and Logistics Ltd	0	0	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
506180	EMERGENT	NSE:EMERGENT	Emergent Industrial Solutions Ltd	645.95	295.1345605	SME	Trading - Metals	Commodities	Metals & Mining	Metals & Minerals Trading	Trading - Metals
506184	KANANIIND	NSE:KANANIIND	Kanani Industries Ltd	1.9	37.4001125	SME	Gems- Jewellery And Watches	Consumer Discretionary	Consumer Durables	Consumer Durables	Gems, Jewellery And Watches
506190	ZSARVAMA	NSE:ZSARVAMA	Sarvamangal Mercantile Company Ltd	52.5	1.30725	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
506194	ARIHANTSUP	NSE:ARIHANTSUP	Arihant Superstructures Ltd	426.6	1875.483009	Small Cap	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
506196	VIKSHEN	NSE:VIKSHEN	Viksit Engineering Ltd	0	0	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
506197	BLISSGVS	NSE:BLISSGVS	Bliss GVS Pharma Ltd	154.1	1633.740202	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506222	STYRENIX	NSE:STYRENIX	Styrenix Performance Materials Ltd	2548.2	4518.275	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506235	ALEMBICLTD	NSE:ALEMBICLTD	Alembic Ltd	100.99	2583.539243	Small Cap	Residential- Commercial Projects	Consumer Discretionary	Realty	Realty	Residential, Commercial Projects
506248	AMNPLST	NSE:AMNPLST	Amines & Plasticizers Ltd	224.9	1237.399542	Small Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506260	ANUHPHR	NSE:ANUHPHR	Anuh Pharma Ltd	84	841.8816	Micro Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506261	MODISONLTD	NSE:MODISONLTD	Modison Ltd	155	502.975	Micro Cap	Other Electrical Equipment	Industrials	Capital Goods	Electrical Equipment	Other Electrical Equipment
506285	BAYERCROP	NSE:BAYERCROP	Bayer CropScience Ltd	4987.6	22415.31226	Small Cap	Pesticides & Agrochemicals	Commodities	Chemicals	Fertilizers & Agrochemicals	Pesticides & Agrochemicals
506365	CHEMOPH	NSE:CHEMOPH	Chemo Pharma Laboratories Ltd	125.8	18.8700004	SME	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506390	HEUBACHIND	NSE:HEUBACHIND	Heubach Colorants India Ltd	522.5	1196.214	Small Cap	Dyes And Pigments	Commodities	Chemicals	Chemicals & Petrochemicals	Dyes And Pigments
506395	COROMANDEL	NSE:COROMANDEL	Coromandel International Ltd	2163.2	63733.21367	Mid Cap	Fertilizers	Commodities	Chemicals	Fertilizers & Agrochemicals	Fertilizers
506401	DEEPAKNTR	NSE:DEEPAKNTR	Deepak Nitrite Ltd	1764	24059.7252	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506405	DMCC	NSE:DMCC	DMCC Speciality Chemicals Ltd	306	763.161858	Micro Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506414	FERMENTA	NSE:FERMENTA	Fermenta Biotech Ltd	274	792.5897	Micro Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506480	GOCLCORP	NSE:GOCLCORP	GOCL Corporation Ltd	349.05	1729.879196	Small Cap	Explosives	Commodities	Chemicals	Chemicals & Petrochemicals	Explosives
506520	JAYCH	NSE:JAYCH	Jayshree Chemicals Ltd	6.62	19.4141095	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506525	KANORICHEM	NSE:KANORICHEM	Kanoria Chemicals & Industries Ltd	80.11	350.0272692	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506528	KELENRG	NSE:KELENRG	KELTECH Energies Ltd	4225	422.5	SME	Explosives	Commodities	Chemicals	Chemicals & Petrochemicals	Explosives
506530	KEMP	NSE:KEMP	Kemp & Company Ltd	1205	130.1641	SME	Diversified Commercial Services	Services	Services	Commercial Services & Supplies	Diversified Commercial Services
506532	NITTAGELA	NSE:NITTAGELA	Nitta Gelatin India Ltd	851	772.6364309	Micro Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506543	MPAGI	NSE:MPAGI	MP Agro Industries Ltd	8.98	5.2119145	SME	Fertilizers	Commodities	Chemicals	Fertilizers & Agrochemicals	Fertilizers
506579	OCCL	NSE:OCCL	Oriental Carbon & Chemicals Ltd	160.05	160.1479536	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506590	PCBL	NSE:PCBL	PCBL Chemical Ltd	370	13966.1162	Small Cap	Carbon Black	Commodities	Chemicals	Chemicals & Petrochemicals	Carbon Black
506597	AMAL	NSE:AMAL	Amal Ltd	749.95	927.1377017	Micro Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506605	POLYCHEM	NSE:POLYCHEM	Polychem Ltd	2230	90.102035	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506618	PUNJABCHEM	NSE:PUNJABCHEM	Punjab Chemicals & Crop Protection Ltd	1345.1	1655.516471	Small Cap	Pesticides & Agrochemicals	Commodities	Chemicals	Fertilizers & Agrochemicals	Pesticides & Agrochemicals
506640	GUJCMDS	NSE:GUJCMDS	Gujchem Distillers India Ltd	321	0	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506642	SADHNANIQ	NSE:SADHNANIQ	Sadhana Nitro Chem Ltd	9.08	299.4897066	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506655	SUDARSCHEM	NSE:SUDARSCHEM	Sudarshan Chemical Industries Ltd	1230	9562.371172	Small Cap	Dyes And Pigments	Commodities	Chemicals	Chemicals & Petrochemicals	Dyes And Pigments
506680	TECILCHEM	NSE:TECILCHEM	Tecil Chemicals & Hydro Power Ltd	18.74	35.0195057	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506685	ULTRAMAR	NSE:ULTRAMAR	Ultramarine & Pigments Ltd	483	1410.36	Small Cap	Dyes And Pigments	Commodities	Chemicals	Chemicals & Petrochemicals	Dyes And Pigments
506687	TRANSPEK	NSE:TRANSPEK	Transpek Industry Ltd	1425	795.94344	Micro Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506690	UNICHEMLAB	NSE:UNICHEMLAB	Unichem Laboratories Ltd	470	3273.858768	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506734	MYSORPETRO	NSE:MYSORPETRO	Mysore Petro Chemicals Ltd	119.95	78.9689245	SME	Trading - Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Trading - Chemicals
506767	ALKYLAMINE	NSE:ALKYLAMINE	Alkyl Amines Chemicals Ltd	1880.5	9639.8157	Small Cap	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506808	TUTIALKA	NSE:TUTIALKA	Tuticorin Alkali Chemicals And Fertilizers Ltd	70.25	855.896495	Micro Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506820	ASTRAZEN	NSE:ASTRAZEN	AstraZeneca Pharma India Ltd	9301.5	23253.75	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506852	PRIMO	NSE:PRIMO	Primo Chemicals Ltd	23.78	576.2921462	Micro Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506854	TANFACIND	NSE:TANFACIND	TANFAC Industries Ltd	3892.5	3888.999864	Small Cap	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506858	GUJPETR	NSE:GUJPETR	Gujarat Petrosynthese Ltd	61.5	36.7103709	SME	Petrochemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Petrochemicals
506863	SWADEIN	NSE:SWADEIN	Swadeshi Industries & Leasing Ltd	85.32	92.2986637	SME	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
506879	GUJTHEM	NSE:GUJTHEM	Gujarat Themis Biosyn Ltd	451.65	4921.413191	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506906	SCBL	NSE:SCBL	Saptak Chem And Business Ltd	12.64	1.3565577	SME	Trading & Distributors	Services	Services	Commercial Services & Supplies	Trading & Distributors
506919	MAKERSL	NSE:MAKERSL	Makers Laboratories Ltd	135	79.655076	SME	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506935	CONTCHM	NSE:CONTCHM	Continental Chemicals Ltd	74.11	0	SME	Software Products	Information Technology	Information Technology	IT - Software	Software Products
506943	JBCHEPHARM	NSE:JBCHEPHARM	JB Chemicals & Pharmaceuticals Ltd	1710.2	26781.08136	Small Cap	Pharmaceuticals	Healthcare	Healthcare	Pharmaceuticals & Biotechnology	Pharmaceuticals
506945	IGLFXPL-B	NSE:IGLFXPL-B	Indo Gulf Industries Ltd	2.15	2.056963	SME	Specialty Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Specialty Chemicals
506947	ADVPETR-B	NSE:ADVPETR-B	Advance Petrochemicals Ltd	172.55	15.5295	SME	Commodity Chemicals	Commodities	Chemicals	Chemicals & Petrochemicals	Commodity Chemicals
506979	APTPACK	NSE:APTPACK	Apt Packaging Ltd	85	100.57557	SME	Packaging	Industrials	Capital Goods	Industrial Products	Packaging
506981	BLUECHIPT	NSE:BLUECHIPT	Bluechip Tex Industries Ltd	140.95	27.7741968	SME	Other Textile Products	Consumer Discretionary	Textiles	Textiles & Apparels	Other Textile Products
